order,Genus,O2Req,OralorRespiratoryPath
56,Abiotrophia,Facultative anaerobe,
166,Absconditabacteriales_SR1_ge,Unclassifiable,
150,Acidaminococcus,Anaerobe,
200,Acinetobacter,Aerobe,Pathogenic
196,Actinobacillus,Facultative anaerobe,
2,Actinobacteria_uncl,Unclassifiable,
3,Actinomyces,Facultative anaerobe,
57,Aerococcaceae_uncl,Facultative anaerobe,
171,Afipia,Aerobe,
81,Agathobacter,Anaerobe,
197,Aggregatibacter,Facultative anaerobe,
205,Akkermansia,Anaerobe,
37,Alistipes,Anaerobe,
31,Alloprevotella,Anaerobe,Oral
7,Alloscardovia,Facultative anaerobe,
141,Anaerococcus,Anaerobe,
156,Anaeroglobus,Anaerobe,
82,Anaerostipes,Anaerobe,
118,Anaerotruncus,Anaerobe,
129,Anaerovoracaceae_ge,Anaerobe,
130,Anaerovoracaceae_uncl,Anaerobe,
135,Anaerovoracaceae_Uncltrd,Anaerobe,
177,Aquabacterium,Facultative anaerobe,
17,Atopobium,Variable,
51,Bacilli_uncl,Unclassifiable,
22,Bacteria_uncl,Unclassifiable,
25,Bacteroidales_uncl,Anaerobe,
23,Bacteroides,Anaerobe,
42,Bacteroidia_uncl,Unclassifiable,
44,Bergeyella,Aerobe,
8,Bifidobacteriaceae_uncl,Anaerobe,
9,Bifidobacterium,Anaerobe,
49,Bilophila,Anaerobe,
83,Blautia,Anaerobe,
172,Bradyrhizobium,Aerobe,
53,Bulleidia,Anaerobe,
106,Butyricicoccus,Anaerobe,
26,Butyricimonas,Anaerobe,
84,Butyrivibrio,Anaerobe,
46,Campylobacter,Microaerophile,
43,Capnocytophaga,Facultative anaerobe,Oral
189,Cardiobacterium,Facultative anaerobe,
58,Carnobacteriaceae_uncl,Unclassifiable,
85,Catonella,Anaerobe,
152,Centipeda,Anaerobe,
48,Chloroplast_ge,Unclassifiable,
71,Christensenellaceae_R_7_grp,Anaerobe,
72,Christensenellaceae_Uncltrd,Anaerobe,
191,Citrobacter,Facultative anaerobe,Pathogenic
73,Clostridia_UCG_014_ge,Anaerobe,
75,Clostridia_uncl,Unclassifiable,
76,Clostridia_vadinBB60_grp_ge,Anaerobe,
77,Clostridium_sensu_stricto_1,Anaerobe,
107,Colidextribacter,Unclassifiable,
178,Comamonadaceae_uncl,Variable,
179,Comamonas,Aerobe,
181,Conchiformibius,Unclassifiable,
86,Coprococcus,Anaerobe,
13,Corynebacterium,Variable,
19,Cryptobacterium,Anaerobe,
80,Defluviitaleaceae_UCG_011,Unclassifiable,
50,Desulfovibrio,Anaerobe,
157,Dialister,Variable,
59,Dolosigranulum,Facultative anaerobe,
87,Dorea,Anaerobe,
119,DTU089,Unclassifiable,
20,Eggerthella,Anaerobe,
182,Eikenella,Facultative anaerobe,Pathogenic
88,Eisenbergiella,Anaerobe,
